id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
27877,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Scullers For Her Women Printed Navy Blue Shirt
6289,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Classic Polo Classic Polo Swiss Brown Tee T-Shirt
49034,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring
42428,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Aurelia Women Brown & Orange Kurta
31323,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Aurelia Women Printed Red Kurta
19911,Unisex,Accessories,Bags,Messenger Bag,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Printed Messenger Bag
44142,Men,Personal Care,Fragrance,Perfume and Body Mist,Green,Spring,2017.0,Casual,dunhill Men Fresh Perfume
11172,Men,Apparel,Topwear,Sweaters,Red,Fall,2011.0,Casual,Scullers Men Stripes Red Sweaters
35313,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings
32304,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Women White Dial Watch
56225,Men,Apparel,Loungewear and Nightwear,Night suits,Black,Summer,2016.0,Casual,SDL by Sweet Dreams Men Black & Grey Pyjama Set
51232,Women,Apparel,Topwear,Kurtas,Green,Fall,2012.0,Ethnic,Satya Paul Women Green Printed Kaftan
17249,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Printed Limoges Blue Tshirt
18665,Men,Footwear,Shoes,Casual Shoes,White,Summer,2013.0,Casual,Fila Men Syncro White Shoes
15946,Men,Accessories,Ties,Ties,Black,Fall,2011.0,Formal,Turtle Men Solid Black Ties
57935,Men,Footwear,Sandal,Sandals,Black,Spring,2012.0,Casual,Clarks Men Black Leather Closed Sandals
37488,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Esprit Women Silver Dial Watch
48585,Women,Accessories,Jewellery,Bracelet,Silver,Summer,2013.0,Casual,Lucera Women Silver Bracelet
35542,Girls,Footwear,Sandal,Sandals,Pink,Summer,2012.0,Casual,Enroute Kids Girls Pink Sandals
37671,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,American Tourister Unisex Black Backpack
26703,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men White Court Shuttle Shoes
56474,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017.0,,Streetwear Fiery Femme Nail Polish # 18
57552,Women,Personal Care,Lips,Lipstick,Copper,Spring,2017.0,Casual,Lotus Herbals Floralstay Copper Toast Lip Color 424
35784,Women,Footwear,Shoes,Flats,Black,Summer,2012.0,Casual,Enroute Women Black Shoes
57304,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Rocia Women Brown Wedges
5434,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men's Kill Man Red T-shirt
49830,Women,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012.0,Casual,iPanema Women Pink Flip Flops
16794,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Highlander Men Stripes Navy Blue Shirt
10463,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Flying Machine Men Grey Polo Tshirts
30256,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Black Semi Formal Shoes
7595,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,Nike Women Ten Blue White Shoe
3909,Women,Apparel,Bottomwear,Capris,Red,Summer,2011.0,Casual,Urban Yoga Women Yoga Red Capri
5699,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015.0,Casual,Skechers Men's Striking Black Shoe
19525,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Check Grey Sweater
55438,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Revlon Mauve Colorburst Lipstick 005
58911,Men,Accessories,Ties,Ties,Grey,Summer,2012.0,Casual,Hakashi Men Grey Silk Tie
7102,Unisex,Accessories,Bags,Backpacks,Orange,Winter,2015.0,Casual,Wildcraft Unisex Orange & Grey Backpack
50516,Men,Apparel,Innerwear,Trunk,Navy Blue,Winter,2016.0,Casual,Chromozome Men Navy Blue Trunks
4919,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Veeya Pink Kidswear
45030,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Watch
32162,Women,Accessories,Socks,Socks,Black,Summer,2017.0,Casual,Playboy Women Playmate Black Ankle Socks
23222,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,Aneri Women Freya Red Kurta
37074,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Women Black Handbag
57191,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women White Top
47303,Women,Accessories,Bags,Clutches,Black,Fall,2012.0,Casual,Baggit Women Black Purse
26106,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Formal,John Miller Men Striped Purple Shirt
17641,Unisex,Accessories,Headwear,Headband,White,Fall,2013.0,Sports,Puma Unisex Cat White Headband
2219,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,ADIDAS Men's Black Shoe
8723,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Indigo Nation Men Striped Yellow Shirt
26139,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Grey Trousers
28291,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Fastrack Men Black Sunglasses
59034,Women,Footwear,Shoes,Heels,Bronze,Winter,2012.0,Casual,Carlton London Women Black Heels
56418,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Biara Women Black Bra
4926,Women,Apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Gini and Jony Girl's Valencia Green Blue Infant Kidswear
12768,Women,Apparel,Topwear,Tunics,Green,Fall,2011.0,Ethnic,Mother Earth Women Plain Mangalgiri Green Tunics
34098,Boys,Apparel,Topwear,Shirts,Multi,Summer,2012.0,Casual,Doodle Boys Check Multi Coloured Shirt
42824,Women,Apparel,Innerwear,Briefs,Red,Summer,2012.0,Casual,Little Miss Intimates Women Red Brief
22332,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011.0,Casual,John Players Men Solid Maroon Polo T-Shirt
34257,Men,Apparel,Bottomwear,Tracksuits,Charcoal,Summer,2013.0,Sports,Proline Men Charcoal Tracksuit
39910,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue & Red F10 Sports Shoes
50978,Women,Apparel,Innerwear,Bra,Maroon,Summer,2017.0,Casual,Enamor Masai Lift Bra
42647,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Alma Women Purple Printed Kurta
40322,Men,Footwear,Shoes,Sports Shoes,White,Spring,2013.0,Sports,ADIDAS Men White Sparta Sports Shoes
28061,Men,Apparel,Innerwear,Briefs,Grey Melange,Winter,2016.0,Casual,Jockey ELANCE Men Pack Of Two Grey Briefs 1010
58918,Men,Accessories,Ties,Ties,Red,Summer,2012.0,Casual,Hakashi Men Red & Black Silk Tie
9091,Men,Footwear,Shoes,Casual Shoes,Maroon,Winter,2011.0,Casual,Buckaroo Men Amigo Maroon Casual Shoes
2479,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Puma Men's Foundation Grey Polo T-shirt
13812,Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.0,Casual,Proline Navy Striped Sweater
49600,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women White Flats
34096,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Doodle Boys Printed Red T-shirt
17670,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Fancy Black Heels
26305,Men,Apparel,Topwear,Tshirts,Cream,Fall,2013.0,Casual,Proline Men Pack of 3 T-Shirts
42640,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Casual,W Women Red Dress
6015,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Highlander Men Small Black Checked Shirt
31948,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,Nike Men Air Pegasus Blue Sports Shoes
20006,Women,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,United Colors of Benetton Women Printed Green T-shirt
10693,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Doodle Girl Cute Purple Tops
27475,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Jockey Women White Essence Bra 2001
55869,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017.0,Casual,Colorbar All Fired Up 2 Nail Lacquer 83V
59839,Women,Personal Care,Fragrance,Fragrance Gift Set,Maroon,Spring,2017.0,Casual,Valley of Flowers Women Fragrance Gift Set
6688,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Women's V Neck Black T-shirt
36538,Women,Accessories,Wallets,Wallets,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Wallet
46825,Women,Footwear,Shoes,Casual Shoes,Off White,Winter,2015.0,Casual,Catwalk Women Off-White and Blue Pumps
16769,Women,Accessories,Bags,Clutches,Silver,Winter,2015.0,Casual,Spice Art Women Shimmer Silver Clutch
27429,Women,Apparel,Topwear,Tshirts,Pink,Winter,2015.0,Casual,Jockey Women Pink T-shirt
36769,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Watch
29547,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Classic Polo Men Printed Yellow T-shirt
4974,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Infant Kidswear
24258,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Numero Uno Men White Casual Shoes
9465,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men White Self Structure Shirts
48742,Men,Accessories,Jewellery,Bangle,Steel,Summer,2012.0,Casual,Revv Men Steel Bangle
43537,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,French Connection Women Green Top
7150,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,Scullers For Her Women's Wow Knit Black Purple Top
42411,Men,Apparel,Innerwear,Briefs,Charcoal,Summer,2016.0,Casual,Basics Men Charcoal Hip Brief
53563,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Unisex White Analog Dial Watches
16197,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Puma Men Rugby Green TShirt
45250,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Youth Series Men Digital Watch AE-2000W-1AVDF(D083)
12705,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Air Courtballistic White Sports Shoes
6620,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Ridley White Silver Shoe
42849,Women,Accessories,Bags,Clutches,Black,Summer,2012.0,Casual,French Connection Women Black Clutch
48577,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet
42871,Women,Accessories,Bags,Clutches,Red,Summer,2012.0,Casual,French Connection Women Red Clutch
15518,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Rockport Men Slatkin Grey Casual Shoes
46841,Girls,Footwear,Shoes,Casual Shoes,Pink,Winter,2012.0,Casual,Barbie Girls Pink Shoes
6288,Unisex,Footwear,Flip Flops,Flip Flops,Red,Summer,2011.0,Casual,Puma Unisex Matrix Red White Flip Flop
38290,Girls,Apparel,Topwear,Tops,Turquoise Blue,Summer,2012.0,Casual,Kids Ville Girls Turquoise Blue Top
57933,Men,Apparel,Topwear,Tshirts,Grey Melange,Summer,2012.0,Casual,French Connection Men Grey Melange T-shirt
31580,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Mark Taylor Men Printed Navy Blue T-shirt
20096,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,Diva Women Printed White Kurta
56016,Women,Personal Care,Lips,Lipstick,Orange,Spring,2017.0,Casual,Colorbar Soft Touch Citrine Lipstick 040
22735,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Nike Women Grey Lunarswift +3 Sports Shoes
34650,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Fila Women Top Fuel Black Sports Shoes
41869,Men,Footwear,Sandal,Sandals,Yellow,Fall,2015.0,Casual,Estd. 1977 Men Yellow & Brown Sandals
57130,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women Printed White Top
20250,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Music Grey Tshirt
7701,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Jealous 21 Women's She's Attitude Scarlet Pink T-shirt
22163,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Fall,2012.0,Casual,Timberland Men Navy Blue Casual Shoes
36563,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Jack & Jones Men Polo Blue T-shirt
57554,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,,Lotus Herbals SPF-10 Coffee Berry Lipstick 422
2880,Women,Footwear,Shoes,Heels,Grey,Summer,2016.0,Formal,Catwalk Women Leather Formal Grey Heels
31589,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Mark Taylor Men Printed Black T-shirt
26966,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Check Purple Shirt
52679,Women,Accessories,Watches,Watches,Bronze,Winter,2016.0,Casual,Morellato Women Silver Dial Watch
22358,Men,Apparel,Topwear,Shirts,Beige,Fall,2011.0,Casual,John Players Men Solid Beige Shirt
2874,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels
58727,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Puma Women Purple T-shirt
23884,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Fila Men Hitech White Sports Shoes
14295,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Classic Polo Men Printed pack of 3 Tshirts
6611,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2011.0,Casual,Spykar Men Stripes Navy Blue Shirt
37473,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Esprit Men Black Watch
11979,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Fila Men Glam Black Casual Shoes
33215,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Sepia Women Off White Top
46622,Women,Footwear,Shoes,Heels,Multi,Summer,2016.0,Casual,Catwalk Women Multi colour Wedges
43734,Women,Accessories,Jewellery,Bangle,Gold,Summer,2012.0,Casual,Royal Diadem Set of 4 Golden Bangles
41251,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt
11521,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Blue T-shirt
19310,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Lunarglide+ 3 White Sports Shoe
37813,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,John Players Men Check Black Shirt
48774,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013.0,Casual,Lucera Women Silver Pendant
49807,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Flying Machine Men Red Cap
39942,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2013.0,Casual,Gas Men Navy Blue Shoes
27276,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011.0,Ethnic,Mother Earth Women Beige Kurta
55232,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening Beige Honey Foundation 05
34037,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt
55490,Women,Personal Care,Lips,Lip Gloss,Rose,Spring,2017.0,Casual,Revlon Rose Gold Colorburst Lip Gloss 026
48921,Women,Accessories,Jewellery,Ring,Silver,Fall,2012.0,Casual,Lucera Women Silver Ring
46087,Women,Footwear,Shoes,Casual Shoes,Silver,Summer,2012.0,Casual,ADIDAS Women Silver Magique Shoes
59853,Women,Personal Care,Skin,Face Moisturisers,White,Spring,2017.0,Casual,Olay Women Natural White Rich All in One Fairness Night Cream
24407,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012.0,Ethnic,Vishudh Women Pink Printed Kurta
30235,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2012.0,Casual,Numero Uno Men Brown Flip Flops
7132,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Urban Yoga Women's Green T-shirt
33080,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt
47333,Women,Accessories,Wallets,Wallets,Beige,Summer,2012.0,Casual,Baggit Women Beige Chata Josh Wallet
32536,Men,Personal Care,Fragrance,Fragrance Gift Set,Black,Spring,2017.0,Casual,Playboy Men Malibu Fragrance Gift Set
22596,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Red T-shirt
18639,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Puma Men V.11 Cat Midnight Navy Tshirts
55259,Women,Personal Care,Makeup,Kajal and Eyeliner,Brown,Spring,2017.0,Casual,Lakme Absolute Forever Silk Earth Line Eye Liner
46018,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Fabindia Women Green Kurta
51867,Women,Apparel,Innerwear,Bra,Black,Summer,2016.0,Casual,Bwitch Black Bra
15119,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2012.0,Formal,Arrow Men Stripes Grey Trousers
10661,Women,Apparel,Bottomwear,Shorts,Blue,Fall,2011.0,Casual,Doodle Girl Hot  Ice Wash Blue Shorts
6477,Men,Apparel,Topwear,Jackets,White,Summer,2011.0,Casual,ADIDAS Men Top White Jacket
3105,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Probase Men's Wtf Pink T-Shirt
41695,Men,Apparel,Bottomwear,Shorts,Navy Blue,Summer,2012.0,Casual,Superman Men Navy Blue Printed Shorts
7797,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men's First Round Takeahike Black Yellow Shoe
6645,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2011.0,Sports,Nike Women's Serenity Grey Shoe
46676,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Rasasi Women Pack of 3 Perfumes
33073,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,U.S.Polo Assn. Men Green Polo T-shirt
11323,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans
55053,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,,Lakme Enrich Satins Lipstick 133
13222,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2011.0,Casual,Palm Tree Kids Boys Washed Blue Shorts
7909,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy & Cream Striped Polo T-shirt
18265,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Aneri Women Swara Pink Kurta
4911,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Dionne Pink Kidswear
53539,Women,Apparel,Innerwear,Briefs,Maroon,Winter,2015.0,Casual,Amante Women Pack of 2 Bikini Briefs PFFL01
17649,Unisex,Footwear,Flip Flops,Flip Flops,Green,Summer,2012.0,Casual,Converse Unisex Casual Green Slipper
12599,Unisex,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Tantra Unisex Printed Green Tshirts
16905,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,Status Quo Men Solid Green Sweatshirt
47554,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,Portia Women Red Heels
4918,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girls Vollie Pink Top
26107,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Striped Blue Shirt
40315,Unisex,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Casual,ADIDAS Unisex White Shoes
57190,Women,Apparel,Topwear,Tunics,Pink,Summer,2012.0,Casual,Elle Women Pink Tunic
16766,Women,Accessories,Bags,Handbags,Green,Winter,2015.0,Casual,Spice Art Women Leatherette  Green Handbags
5466,Unisex,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Unisex Elite White Shoe
52416,Women,Apparel,Loungewear and Nightwear,Night suits,Purple,Winter,2015.0,Casual,Red Rose Women Purple Pyjama Set
21580,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Chhota Bheem Kids-Boys Printed Pale Blue Tshirt
6687,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,UCB Women's Basic Round Neck White T-shirt
22137,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012.0,Formal,Provogue Men Brown Formal Shoes
21913,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,BIBA Women Printed Red Kurta
29514,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Playboy Women White Dial Watch
42019,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,ADIDAS Men Black Pural Desman Shoes
13489,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,FIFA Men Printed Navy Blue T-shirts
8722,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Stripes Green Shirts
52871,Women,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,F5 Women Pack of 3 Deos
20667,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Striped White Tshirt
13445,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,United Colors of Benetton Women Printed White Tops
30091,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Ed Hardy Women Black Watch
15322,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,Nike Men Solid Black Jacket
45660,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,2016.0,Casual,Park Avenue Men Black Square Neck Vest
39311,Men,Footwear,Flip Flops,Flip Flops,Multi,Summer,2012.0,Casual,Converse Men Multi Coloured Flip Flop
36957,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Force 10 Men White Sports Shoes
28607,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Dart VII White Sports Shoes
